mssv,namsinh,gioitinh,namnhaphoc,hieusotuoi,khoahoc,lopsh,hedt,dien_tt,loaitruong,khuvuc,diachi_tinhtp,xeploai_diemtt,avxl,diem_tt,diemchuan_dgnl,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhk8,dtbhk9,dtbhk10,dtbhk11,dtbhk12,xeploai_hk1,xeploai_hk2,xeploai_hk3,xeploai_hk4,xeploai_hk5,xeploai_hk6,xeploai_hk7,xeploai_hk8,xeploai_hk9,xeploai_hk10,xeploai_hk11,xeploai_hk12
A2367341XPvAibaEXe92CdOgj+Qa/Tg3EV7CxWaE,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CLC,0,Chuyên,Khu vực 1, Tỉnh Gia Lai,3,ENG01,22.75,,6.04,3.45,6.31,6.36,5.49,3.62,2.14,3.4,,,,,Trung bình khá,Kém,Trung bình khá,Trung bình khá,Trung bình,Kém,Kém,Kém,,,,
41EF8A63XPvAibaEXe92CdOgj+Qa/faRc4eW+qld,1998.0,1.0,2016.0,0.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,2,ENG01,23.0,,5.59,5.34,5.81,6.12,5.05,0.24,,,,,,,Trung bình,Trung bình,Trung bình,Trung bình khá,Trung bình,Kém,,,,,,
8B9FD2DBXPvAibaEXe92CdOgj+Qa/bUGTQ7V3EuT,1997.0,1.0,2016.0,-1.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2 NT, Tỉnh Kiên Giang,3,ENG01,22.0,,7.58,8.18,8.45,8.29,7.47,7.88,9.17,8.73,,,,,Khá,Giỏi,Giỏi,Giỏi,Khá,Khá,Xuất sắc,Giỏi,,,,
F464001FXPvAibaEXe92CdOgj+Qa/efjKFTKMTZe,1998.0,1.0,2016.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 2, Thành phố Hồ Chí Minh,3,ENG01,21.0,,7.21,6.45,7.17,6.85,7.73,7.35,7.65,8.01,,,,,Khá,Trung bình khá,Khá,Trung bình khá,Khá,Khá,Khá,Giỏi,,,,
5F3CB2A6XPvAibaEXe/7jtQOMcuJ+9WRD3+H69rs,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2, Huyện Đất Đỏ,3,ENG01,22.0,,7.05,5.19,7.48,6.79,7.24,6.02,4.28,3.0,1.54,2.0,7.0,1.83,Khá,Trung bình,Khá,Trung bình khá,Khá,Trung bình khá,Yếu,Kém,Kém,Kém,Khá,Kém
DD04F84BXPvAibaEXe/7jtQOMcuJ+yq1noCyFIxx,1998.0,1.0,2016.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Nam,2,ENG01,23.75,,7.6,7.41,7.1,6.92,7.95,6.58,7.42,7.4,,,,,Khá,Khá,Khá,Trung bình khá,Khá,Trung bình khá,Khá,Khá,,,,
E5B18116XPvAibaEXe/7jtQOMcuJ+3mMd8xWafpS,1998.0,1.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Thừa Thiên Huế,3,ENGBT,22.25,,7.02,6.77,7.29,6.81,6.94,5.84,7.13,7.95,,,,,Khá,Trung bình khá,Khá,Trung bình khá,Trung bình khá,Trung bình,Khá,Khá,,,,
715030C0XPvAibaEXe/7jtQOMcuJ+31csSiny4MA,1998.0,1.0,2016.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1, Tỉnh Đắk Nông,2,ENGBT,23.0,,6.08,4.84,5.85,5.83,7.13,6.58,6.36,6.94,,,,,Trung bình khá,Yếu,Trung bình,Trung bình,Khá,Trung bình khá,Trung bình khá,Trung bình khá,,,,
4E977F63XPvAibaEXe/7jtQOMcuJ+2+dDt9040Ew,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CLC,0,Chuyên,Khu vực 2, Tỉnh Đồng Nai,3,ENG02,21.75,,7.27,5.7,5.14,4.35,4.5,6.57,6.55,6.49,7.05,4.24,,,Khá,Trung bình,Trung bình,Yếu,Yếu,Trung bình khá,Trung bình khá,Trung bình khá,Khá,Yếu,,
F96F26BDXPvAibaEXe/7jtQOMcuJ+4eFmj09T6qD,1997.0,1.0,2016.0,-1.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Thừa Thiên Huế,3,ENGBT,21.75,,6.41,3.17,2.77,4.57,,,4.7,2.54,3.93,3.75,,,Trung bình khá,Kém,Kém,Yếu,,,Yếu,Kém,Kém,Kém,,
90DB2E8EXPvAibaEXe+IfVguXAeAtZiVpbm6nqcF,1998.0,1.0,2016.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2, Tỉnh Đồng Nai,2,ENG01,24.25,,8.6,7.71,8.48,8.72,8.0,9.08,8.61,9.5,,,,,Giỏi,Khá,Giỏi,Giỏi,Giỏi,Xuất sắc,Giỏi,Xuất sắc,,,,
AEB24512XPvAibaEXe+IfVguXAeAtX/Y9IhZlUDe,1998.0,1.0,2016.0,0.0,11.0,TMĐT2016,CQUI,0,THPT,Khu vực 1, Tỉnh Lâm Đồng,3,ENG01,21.75,,8.38,7.95,7.99,7.41,7.59,7.32,8.1,7.67,,,,,Giỏi,Khá,Khá,Khá,Khá,Khá,Giỏi,Khá,,,,
DE497535XPvAibaEXe+IfVguXAeAtVEyF1rA9Vvu,1998.0,1.0,2016.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1, Tỉnh Đắk Lắk,3,ENG01,22.5,,6.52,4.11,6.17,6.5,6.1,6.18,6.26,7.48,6.62,5.5,,,Trung bình khá,Yếu,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Khá,Trung bình khá,Trung bình,,
C85FB68EXPvAibaEXe8qBtIUs9INC/7IxCWzbm9A,1998.0,0.0,2016.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 1, Tỉnh Đắk Lắk,3,ENG01,21.75,,7.16,7.45,7.85,6.62,7.1,7.63,7.08,8.09,,,,,Khá,Khá,Khá,Trung bình khá,Khá,Khá,Khá,Giỏi,,,,
2F2AAAD3XPvAibaEXe8qBtIUs9INCxmr4QpjAe8J,1998.0,0.0,2016.0,0.0,11.0,CTTT2016,CTTT,0,THPT,Khu vực 1, Tỉnh Lâm Đồng,4,ENG01,20.5,,7.75,7.82,8.11,8.37,7.23,7.74,7.95,7.4,,,,,Khá,Khá,Giỏi,Giỏi,Khá,Khá,Khá,Khá,,,,
29C85D60XPvAibaEXe8qBtIUs9INC/pF8ftvBlnc,1998.0,1.0,2016.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Ngãi,3,ENGBT,22.5,,6.02,5.88,6.98,6.29,7.11,6.94,8.15,7.8,,,,,Trung bình khá,Trung bình,Trung bình khá,Trung bình khá,Khá,Trung bình khá,Giỏi,Khá,,,,
1AA01459XPvAibaEXe8qBtIUs9INCxnbbJBzZt2h,1998.0,0.0,2016.0,0.0,11.0,KTPM0001,CQUI,1,THPT,Khu vực 2, Thành phố Ninh Bình,1,ENG01,,,7.37,6.62,7.69,7.66,4.9,7.12,7.27,9.0,,,7.92,8.5,Khá,Trung bình khá,Khá,Khá,Yếu,Khá,Khá,Xuất sắc,,,Khá,Giỏi
CA90782BXPvAibaEXe8qBtIUs9INC+5foK/FHD/Y,1997.0,1.0,2016.0,-1.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 3, Quận 9,3,ENG01,22.0,,7.64,7.16,7.68,7.2,5.74,7.41,2.78,4.0,1.93,2.57,2.75,6.75,Khá,Khá,Khá,Khá,Trung bình,Khá,Kém,Yếu,Kém,Kém,Kém,Trung bình khá
BF9438B7XPvAibaEXe8qBtIUs9INC9vm5OaC+oAF,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CLC,0,THPT,Khu vực 2, Tỉnh Bình Dương,3,ENG01,21.5,,7.8,7.76,7.66,7.83,7.9,7.6,8.12,7.9,0.0,7.2,,,Khá,Khá,Khá,Khá,Khá,Khá,Giỏi,Khá,Kém,Khá,,
B1E90FA5XPvAibaEXe8qBtIUs9INC0sU0gS2iVrK,1998.0,1.0,2016.0,0.0,11.0,PMCL2016.2,CLC,0,THPT,Khu vực 1, Tỉnh Lâm Đồng,3,ENG01,21.5,,5.24,1.71,4.84,4.74,,,,,,,,,Trung bình,Kém,Yếu,Yếu,,,,,,,,
452D43E9XPvAibaEXe8qBtIUs9INC7/L+jylxzMv,1998.0,1.0,2016.0,0.0,11.0,ATTT2016,CQUI,0,THPT,Khu vực 2 NT, Tỉnh Bình Định,3,ENG01,22.25,,5.04,4.08,5.8,4.54,,,,,,,,,Trung bình,Yếu,Trung bình,Yếu,,,,,,,,
F54A694BXPvAibaEXe8qBtIUs9INC3DDTOSk+lWF,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2 NT, Tỉnh Bình Định,3,ENG01,21.0,,5.62,5.88,7.02,6.93,6.58,6.38,5.59,6.65,5.53,7.81,,,Trung bình,Trung bình,Khá,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình,Trung bình khá,Trung bình,Khá,,
B9165618XPvAibaEXe8qBtIUs9INCyaApQAyDOj2,1997.0,1.0,2016.0,-1.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT, Huyện Tuy Phước,3,ENG01,21.75,,6.34,0.69,6.21,5.92,5.39,5.35,5.26,3.11,5.14,3.48,,,Trung bình khá,Kém,Trung bình khá,Trung bình,Trung bình,Trung bình,Trung bình,Kém,Trung bình,Kém,,
581CB126XPvAibaEXe80NXGyYVtTlryDrVC3sRaI,1996.0,1.0,2016.0,-2.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2 NT, Tỉnh Trà Vinh,3,ENGBT,22.25,,5.14,6.29,6.87,5.76,5.96,4.77,4.81,5.34,3.8,0.0,0.0,0.0,Trung bình,Trung bình khá,Trung bình khá,Trung bình,Trung bình,Yếu,Yếu,Trung bình,Kém,Kém,Kém,Kém
008C7E44XPvAibaEXe80NXGyYVtTlnHRV1DTnuqi,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2, Thị xã Thuận An,3,ENG01,22.25,,7.63,8.02,7.75,8.37,5.96,7.21,6.27,8.4,,,,,Khá,Giỏi,Khá,Giỏi,Trung bình,Khá,Trung bình khá,Giỏi,,,,
3101BB70XPvAibaEXe80NXGyYVtTlvIHGKX6+4B0,1998.0,0.0,2016.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 1, Tỉnh Nghệ An,3,ENG01,22.75,,7.13,7.15,8.49,7.08,7.54,7.33,7.63,6.69,,,,,Khá,Khá,Giỏi,Khá,Khá,Khá,Khá,Trung bình khá,,,,
46C3D7D4XPvAibaEXe80NXGyYVtTlkERJq09lvgo,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CLC,0,THPT,Khu vực 1, Tỉnh Lâm Đồng,4,ENG01,20.5,,5.77,6.07,6.32,6.33,6.38,4.28,1.41,5.58,,,,,Trung bình,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Yếu,Kém,Trung bình,,,,
D0AEF330XPvAibaEXe80NXGyYVtTlq6XKsqu9Wjz,1998.0,1.0,2016.0,0.0,11.0,KHMT2016.1,CQUI,0,Chuyên,Khu vực 2, Tỉnh Khánh Hòa,3,ENG01,22.75,,5.48,4.22,5.51,5.84,6.49,6.69,7.17,7.02,,,,,Trung bình,Yếu,Trung bình,Trung bình,Trung bình khá,Trung bình khá,Khá,Khá,,,,
E77126F1XPvAibaEXe/A+LHGtXv8v2OVsnXkSElW,1998.0,0.0,2016.0,0.0,11.0,ATTT2016,CQUI,0,THPT,Khu vực 2, Tỉnh Bình Định,2,ENG01,23.0,,7.69,6.17,7.91,7.35,8.12,6.83,6.75,6.93,,,,,Khá,Trung bình khá,Khá,Khá,Giỏi,Trung bình khá,Trung bình khá,Trung bình khá,,,,
95B284C9XPvAibaEXe/A+LHGtXv8v5yD9Z+2lNZC,1998.0,1.0,2016.0,0.0,11.0,KHTN2016,CNTN,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG02,22.75,,7.78,7.69,8.58,7.29,7.55,9.23,7.86,9.1,,,,,Khá,Khá,Giỏi,Khá,Khá,Xuất sắc,Khá,Xuất sắc,,,,
6B669A59XPvAibaEXe/A+LHGtXv8vzXEqU+iIA1m,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 1, Tỉnh Đắk Lắk,3,ENG01,21.0,,6.4,6.63,7.66,8.44,5.75,7.38,7.76,8.31,,,,,Trung bình khá,Trung bình khá,Khá,Giỏi,Trung bình,Khá,Khá,Giỏi,,,,
AD8724BEXPvAibaEXe/A+LHGtXv8v9pt/RNTPNuD,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2 NT, Ấp 5,3,ENG01,22.0,,7.31,5.93,7.65,8.2,7.94,8.05,8.1,8.23,,,,,Khá,Trung bình,Khá,Giỏi,Khá,Giỏi,Giỏi,Giỏi,,,,
CB7E27DCXPvAibaEXe/A+LHGtXv8vy+900/G7xXc,1998.0,1.0,2016.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1, Tỉnh Đắk Lắk,2,ENGBT,23.75,,7.74,7.88,8.37,8.08,7.32,8.08,8.45,8.8,,,,,Khá,Khá,Giỏi,Giỏi,Khá,Giỏi,Giỏi,Giỏi,,,,
542FD613XPvAibaEXe+cv7qSCYkQet+8WVAW0Q4F,1998.0,1.0,2016.0,0.0,11.0,MMTT2016,CQUI,0,THPT,Khu vực 1, Xã Phú Trung,2,ENG01,24.25,,6.88,7.46,8.45,8.34,8.52,9.04,8.85,7.86,,,,,Trung bình khá,Khá,Giỏi,Giỏi,Giỏi,Xuất sắc,Giỏi,Khá,,,,
3DE54CA2XPvAibaEXe+cv7qSCYkQesWI9sWob4cD,1998.0,1.0,2016.0,0.0,11.0,MMTT2016,CQUI,0,Chuyên,Khu vực 2, Huyện Châu Phú,3,ENG01,21.75,,8.01,6.89,8.25,8.05,8.71,8.94,9.1,7.96,,,,,Giỏi,Trung bình khá,Giỏi,Giỏi,Giỏi,Giỏi,Xuất sắc,Khá,,,,
28768CA3XPvAibaEXe+cv7qSCYkQeoJYs7nj4X0r,1998.0,1.0,2016.0,0.0,11.0,KTPM2016,CQUI,0,THPT,Khu vực 2, Tỉnh Hà Tĩnh,1,ENGBT,25.0,,7.92,2.45,,,,,,,,,,,Khá,Kém,,,,,,,,,,
DB3B22F4XPvAibaEXe+cv7qSCYkQekKv/AFTKFbX,1998.0,1.0,2016.0,0.0,11.0,KTPM2016,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,2,ENG01,24.0,,3.74,1.51,2.33,4.74,5.25,2.85,,,,,,,Kém,Kém,Kém,Yếu,Trung bình,Kém,,,,,,
A413E4E8XPvAibaEXe+cv7qSCYkQegrIATzSP7U1,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CTTT,0,THPT,Khu vực 2, Xã Bà Điểm,4,ENG01,20.5,,6.72,7.28,7.48,8.41,7.42,8.24,8.06,8.15,,,,,Trung bình khá,Khá,Khá,Giỏi,Khá,Giỏi,Giỏi,Giỏi,,,,
F975AAB3XPvAibaEXe+cv7qSCYkQeuLQ3vp3YWgK,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2, Phường Vĩnh Hòa,3,ENG01,22.0,,7.39,6.38,6.69,8.08,4.29,3.66,5.51,5.69,2.25,4.0,,,Khá,Trung bình khá,Trung bình khá,Giỏi,Yếu,Kém,Trung bình,Trung bình,Kém,Yếu,,
7460C064XPvAibaEXe+aP8CrMM5f5Keb+DCasjDz,1998.0,1.0,2016.0,0.0,11.0,KTMT2016,CQUI,0,THPT,Khu vực 2 NT, Tỉnh Tiền Giang,3,ENG01,22.25,,6.21,6.97,8.5,8.32,8.05,8.08,9.35,9.08,,,,,Trung bình khá,Trung bình khá,Giỏi,Giỏi,Giỏi,Giỏi,Xuất sắc,Xuất sắc,,,,
2B9BAF93XPvAibaEXe+aP8CrMM5f5PDicb+LqToJ,1997.0,1.0,2016.0,-1.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2, Tỉnh Quảng Nam,3,ENG01,21.0,,7.83,7.74,7.5,7.94,8.08,8.0,8.42,8.7,,,,,Khá,Khá,Khá,Khá,Giỏi,Giỏi,Giỏi,Giỏi,,,,
CBE89B85XPvAibaEXe+aP8CrMM5f5FIlN52e1MLW,1996.0,1.0,2016.0,-2.0,11.0,ATTN2016,KSTN,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG01,22.5,,7.99,7.22,8.25,7.66,7.79,8.34,7.97,8.6,,,,,Khá,Khá,Giỏi,Khá,Khá,Giỏi,Khá,Giỏi,,,,
CF4EB98CXPvAibaEXe+aP8CrMM5f5DmhblKSI4k+,1998.0,1.0,2016.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG01,21.75,,5.88,3.33,3.63,3.71,4.69,5.7,5.42,4.15,6.94,6.06,7.65,6.6,Trung bình,Kém,Kém,Kém,Yếu,Trung bình,Trung bình,Yếu,Trung bình khá,Trung bình khá,Khá,Trung bình khá
3394B9B1XPvAibaEXe8eJZh5OyStbKQBuSNJjYuq,1998.0,1.0,2016.0,0.0,11.0,PMCL2016.2,CLC,0,Chuyên,Khu vực 3, Tỉnh Quảng Nam,3,ENG01,21.0,,8.69,8.15,8.95,8.07,8.04,8.76,8.62,8.59,,,,,Giỏi,Giỏi,Giỏi,Giỏi,Giỏi,Giỏi,Giỏi,Giỏi,,,,
4C9B57D9XPvAibaEXe8eJZh5OyStbNCI+BAkeQmo,1997.0,1.0,2016.0,-1.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Trị,3,ENGBT,22.5,,6.38,6.28,7.14,7.57,7.44,8.16,7.81,7.93,,,,,Trung bình khá,Trung bình khá,Khá,Khá,Khá,Giỏi,Khá,Khá,,,,
06AF4558XPvAibaEXe8eJZh5OyStbMQ0oi5wpMJM,1998.0,1.0,2016.0,0.0,11.0,TMĐT2016,CQUI,0,THPT,Khu vực 1, Tỉnh Đắk Lắk,3,ENG02,22.0,,8.05,7.14,8.11,7.35,7.67,7.98,7.86,7.94,,,,,Giỏi,Khá,Giỏi,Khá,Khá,Khá,Khá,Khá,,,,
CC8CADBFXPvAibaEXe+uS3hCcqF/s+N2FiM/JFFl,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2 NT, Tỉnh Tiền Giang,3,ENG01,22.0,,5.77,3.91,6.14,5.52,6.18,6.53,7.36,6.79,,,,,Trung bình,Kém,Trung bình khá,Trung bình,Trung bình khá,Trung bình khá,Khá,Trung bình khá,,,,
F50E7697XPvAibaEXe+uS3hCcqF/s/aPOBzTkdzm,1998.0,1.0,2016.0,0.0,11.0,KTPM2016,CQUI,0,Chuyên,Khu vực 3, Quận Thanh Khê,2,ENG01,24.25,,7.81,7.05,8.26,7.71,5.92,7.48,8.3,7.46,,,,,Khá,Khá,Giỏi,Khá,Trung bình,Khá,Giỏi,Khá,,,,
C6B0D2B1XPvAibaEXe+uS3hCcqF/s6qwC/GW/0Sp,1998.0,1.0,2016.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2 NT, Tỉnh Khánh Hòa,2,ENG01,23.0,,5.29,2.86,6.25,3.64,3.1,0.53,,,,,,,Trung bình,Kém,Trung bình khá,Kém,Kém,Kém,,,,,,
0F3CCC56XPvAibaEXe+uS3hCcqF/swV1VTwrbD2d,1998.0,0.0,2016.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 1, Tỉnh Lâm Đồng,3,ENG01,21.5,,7.68,7.37,8.55,7.79,6.22,6.98,6.73,8.09,,,,,Khá,Khá,Giỏi,Khá,Trung bình khá,Trung bình khá,Trung bình khá,Giỏi,,,,
3FC67985XPvAibaEXe+uS3hCcqF/s1BNErmZi3AP,1998.0,0.0,2016.0,0.0,11.0,ATTN2016,KSTN,0,THPT,Khu vực 2, Tỉnh Đồng Nai,2,ENG01,23.5,,8.24,8.02,8.49,8.32,8.59,8.93,8.4,8.3,,,,,Giỏi,Giỏi,Giỏi,Giỏi,Giỏi,Giỏi,Giỏi,Giỏi,,,,
8003DB77XPvAibaEXe+uS3hCcqF/szDKZkQ/twhY,1998.0,0.0,2016.0,0.0,11.0,TMĐT2016,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG01,21.75,,7.06,5.99,8.0,7.72,7.64,8.49,7.46,6.8,,,,,Khá,Trung bình,Giỏi,Khá,Khá,Giỏi,Khá,Trung bình khá,,,,
4A20070CXPvAibaEXe8TCemjJxtx9Pza59Xs6Z3Q,1998.0,1.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Thị xã Dĩ An,2,ENG01,23.0,,5.29,2.82,7.33,5.65,5.12,7.26,5.69,7.55,6.95,4.44,,,Trung bình,Kém,Khá,Trung bình,Trung bình,Khá,Trung bình,Khá,Trung bình khá,Yếu,,
DA77A23CXPvAibaEXe8TCemjJxtx9N+MBryz9bo1,1998.0,1.0,2016.0,0.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 2 NT, Tỉnh Nghệ An,2,ENG01,23.0,,8.14,7.8,8.36,7.67,7.29,8.09,8.1,8.9,,,,,Giỏi,Khá,Giỏi,Khá,Khá,Giỏi,Giỏi,Giỏi,,,,
4E119A8AXPvAibaEXe8TCemjJxtx9JuL9i5yQtQ7,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Trị,2,ENG02,24.75,,5.94,2.46,,,7.71,7.2,6.7,6.27,,,,,Trung bình,Kém,,,Khá,Khá,Trung bình khá,Trung bình khá,,,,
145DBE3DXPvAibaEXe8TCemjJxtx9DXD6cVF+kBL,1998.0,1.0,2016.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG02,22.75,,7.75,6.1,7.82,7.58,8.02,8.38,7.5,7.42,,,,,Khá,Trung bình khá,Khá,Khá,Giỏi,Giỏi,Khá,Khá,,,,
73EBC2A0XPvAibaEXe9A3Yjgh4iPfsTl7Hkve08O,1998.0,0.0,2016.0,0.0,11.0,MMTT2016,CQUI,0,THCS&THPT,Khu vực 2, Tỉnh Bình Dương,3,ENGBT,22.5,,6.77,6.19,7.83,7.49,7.35,8.07,8.68,7.46,,,,,Trung bình khá,Trung bình khá,Khá,Khá,Khá,Giỏi,Giỏi,Khá,,,,
CAD81BE8XPvAibaEXe9A3Yjgh4iPfvMtO3lWOIXX,1998.0,1.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Thị xã Sông Cầu,3,ENGBT,22.5,,4.62,2.29,5.18,4.52,3.31,6.66,5.7,7.09,6.1,7.03,6.93,6.45,Yếu,Kém,Trung bình,Yếu,Kém,Trung bình khá,Trung bình,Khá,Trung bình khá,Khá,Trung bình khá,Trung bình khá
306F1985XPvAibaEXe9A3Yjgh4iPfgyL6Ctm1KIv,1997.0,1.0,2016.0,-1.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Trị,2,ENG01,24.5,,7.76,6.81,7.7,7.29,5.46,6.49,7.23,6.57,6.99,8.0,,,Khá,Trung bình khá,Khá,Khá,Trung bình,Trung bình khá,Khá,Trung bình khá,Trung bình khá,Giỏi,,
7206D5F5XPvAibaEXe9A3Yjgh4iPfoR9IX7yh3fv,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CTTT,0,THPT,Khu vực 2, Tỉnh Thừa Thiên Huế,4,ENGBT,20.5,,5.3,6.03,5.7,7.08,6.68,7.48,7.23,7.43,7.08,7.7,,,Trung bình,Trung bình khá,Trung bình,Khá,Trung bình khá,Khá,Khá,Khá,Khá,Khá,,
183C2776XPvAibaEXe/eRksRS1wGeFlFzmKQIodO,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2, Tỉnh Quảng Ngãi,3,ENG01,22.0,,7.66,6.99,8.01,8.6,6.44,7.34,6.75,8.6,,,,,Khá,Trung bình khá,Giỏi,Giỏi,Trung bình khá,Khá,Trung bình khá,Giỏi,,,,
3377A01FXPvAibaEXe/eRksRS1wGeHjP086Rff2B,1998.0,1.0,2016.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 1, Huyện Kiên Lương,2,ENG01,23.5,,8.56,7.9,8.31,8.75,8.53,8.34,9.33,8.99,,,,,Giỏi,Khá,Giỏi,Giỏi,Giỏi,Giỏi,Xuất sắc,Giỏi,,,,
9EAC23A4XPvAibaEXe/eRksRS1wGePVnzmYSGW8k,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,2,ENG01,23.5,,5.29,4.22,5.86,6.2,5.56,7.56,7.21,7.93,7.47,8.46,,,Trung bình,Yếu,Trung bình,Trung bình khá,Trung bình,Khá,Khá,Khá,Khá,Giỏi,,
7F1EF887XPvAibaEXe/eRksRS1wGeAzcBQLCMUhk,1998.0,1.0,2016.0,0.0,11.0,HTCL2016.1,CLC,0,THPT,Khu vực 2, Tỉnh Nam Định,4,ENG01,20.5,,6.22,5.41,,,,,,,,,,,Trung bình khá,Trung bình,,,,,,,,,,
445B1666XPvAibaEXe/eRksRS1wGeLe60/QESEnH,1998.0,1.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,Chuyên,Khu vực 2, Tỉnh Bình Định,2,ENG02,23.25,,7.57,6.31,6.31,5.81,6.55,4.26,0.4,2.64,0.95,0.0,,,Khá,Trung bình khá,Trung bình khá,Trung bình,Trung bình khá,Yếu,Kém,Kém,Kém,Kém,,
F1C269FDXPvAibaEXe/eRksRS1wGeM1wcohpNXDp,1995.0,1.0,2016.0,-3.0,11.0,KTMT0001,CQUI,0,Chuyên,Khu vực 2, Tỉnh Bình Định,2,ENG01,23.75,,8.16,6.46,8.0,6.78,1.0,5.58,6.68,6.01,2.42,7.1,,,Giỏi,Trung bình khá,Giỏi,Trung bình khá,Kém,Trung bình,Trung bình khá,Trung bình khá,Kém,Khá,,
2ED165A9XPvAibaEXe/eRksRS1wGeJQzNqtERAKg,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 1, Xã Đức Bình,2,ENG01,24.75,,6.92,5.06,7.96,8.19,7.77,7.17,6.85,2.64,6.53,8.04,,,Trung bình khá,Trung bình,Khá,Giỏi,Khá,Khá,Trung bình khá,Kém,Trung bình khá,Giỏi,,
59F1708DXPvAibaEXe+dMotnUFI9LS1TYt9joenk,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2, Tỉnh Đồng Nai,3,ENGBT,21.75,,7.25,6.45,6.81,7.08,5.5,6.4,7.05,5.97,7.25,8.3,,,Khá,Trung bình khá,Trung bình khá,Khá,Trung bình,Trung bình khá,Khá,Trung bình,Khá,Giỏi,,
7E8BC1EFXPvAibaEXe+dMotnUFI9LWOyhS5uVeu+,1998.0,1.0,2016.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG01,22.5,,7.28,6.59,4.7,2.4,4.67,6.15,3.96,0.07,,,,,Khá,Trung bình khá,Yếu,Kém,Yếu,Trung bình khá,Kém,Kém,,,,
